"","gene_id","sample_1","sample_2","status","value_1","value_2","log2_fold_change","test_stat","p_value","q_value","significant"
"34621","Sobic.001G048600.v3.2","WT","plasma","OK",0.493954,1.12718,1.19027,1.59201,0.00775,0.015871,"yes"
"34846","Sobic.001G070900.v3.2","WT","plasma","OK",0.566945,1.20514,1.08792,1.20462,0.04725,0.0829084,"no"
"35178","Sobic.001G101700.v3.2","WT","plasma","OK",0.116067,0.597806,2.36472,1.94529,0.01475,0.0286848,"yes"
"36740","Sobic.001G251750.v3.2","WT","plasma","OK",0,1.07392,Inf,NA,0.0056,0.0117779,"yes"
"36956","Sobic.001G267701.v3.2","WT","plasma","OK",0.983864,2.33035,1.24402,1.79106,0.0032,0.0070467,"yes"
"38352","Sobic.001G403200.v3.2","WT","plasma","OK",1.15915,2.37509,1.03492,1.92295,0.0012,0.00285491,"yes"
"38392","Sobic.001G406800.v3.2","WT","plasma","OK",14.2849,38.0207,1.41229,3.53223,5e-05,0.00014463,"yes"
"38393","Sobic.001G406901.v3.2","WT","plasma","OK",5.43836,12.6931,1.2228,1.66719,0.00445,0.00954069,"yes"
"38962","Sobic.001G460150.v3.2","WT","plasma","OK",0.563718,1.26118,1.16173,1.23436,0.0457,0.0805196,"no"
"39165","Sobic.001G479600.v3.2","WT","plasma","OK",0.577994,1.26507,1.13009,1.34881,0.025,0.0465018,"yes"
"40963","Sobic.002G108800.v3.2","WT","plasma","OK",0.308328,0.659734,1.09742,1.22773,0.0399,0.0711463,"no"
"42334","Sobic.002G242300.v3.2","WT","plasma","OK",3.3123,7.66794,1.211,2.283,0.00025,0.00066314,"yes"
"42363","Sobic.002G245300.v3.2","WT","plasma","OK",4.41399,9.85544,1.15884,2.7365,5e-05,0.00014463,"yes"
"42607","Sobic.002G268500.v3.2","WT","plasma","OK",0.187679,0.597107,1.66972,1.63754,0.01405,0.0274264,"yes"
"45828","Sobic.003G148500.v3.2","WT","plasma","OK",0.397013,1.19156,1.58559,2.04459,0.00105,0.00252317,"yes"
"47222","Sobic.003G280200.v3.2","WT","plasma","OK",0.521413,1.26439,1.27795,1.31249,0.02775,0.0511273,"no"
"48781","Sobic.003G428800.v3.2","WT","plasma","OK",1.09972,2.98507,1.44063,2.50697,5e-05,0.00014463,"yes"
"48968","Sobic.004G001800.v3.2","WT","plasma","OK",0.353862,0.725721,1.03623,1.24271,0.037,0.066419,"no"
"49488","Sobic.004G051401.v3.2","WT","plasma","OK",1.12997,2.48168,1.13503,1.31601,0.0299,0.0547167,"no"
"49550","Sobic.004G057700.v3.2","WT","plasma","OK",0.212244,0.620934,1.54871,1.47001,0.0204,0.0386149,"yes"
"50411","Sobic.004G139700.v3.2","WT","plasma","OK",0.617536,2.30262,1.89868,2.69047,5e-05,0.00014463,"yes"
"50998","Sobic.004G197100.v3.2","WT","plasma","OK",0.266505,1.11065,2.05917,1.78943,0.0163,0.0314473,"yes"
"51310","Sobic.004G226100.v3.2","WT","plasma","OK",1.00144,2.23246,1.15656,1.4517,0.0139,0.0271591,"yes"
"51447","Sobic.004G239301.v3.2","WT","plasma","OK",0,2.4678,Inf,NA,0.0103,0.020645,"yes"
"52116","Sobic.004G301800.v3.2","WT","plasma","OK",0.270095,0.601807,1.15584,1.31747,0.0256,0.0475267,"yes"
"52127","Sobic.004G302700.v3.2","WT","plasma","OK",0.545659,1.12174,1.03967,1.4565,0.0153,0.0296671,"yes"
"52278","Sobic.004G317000.v3.2","WT","plasma","OK",0.594251,1.35639,1.19063,1.59074,0.00995,0.0200006,"yes"
"53246","Sobic.005G050800.v3.2","WT","plasma","OK",0,1.30488,Inf,NA,5e-05,0.00014463,"yes"
"55031","Sobic.005G218500.v3.2","WT","plasma","OK",0.72569,1.85121,1.35104,1.54379,0.0111,0.0221121,"yes"
"55474","Sobic.006G029300.v3.2","WT","plasma","OK",0.496662,1.11723,1.1696,1.94562,0.00125,0.00296481,"yes"
"56192","Sobic.006G098600.v3.2","WT","plasma","OK",0.505061,1.12669,1.15757,1.55626,0.009,0.0182374,"yes"
"57244","Sobic.006G199100.v3.2","WT","plasma","OK",0.418153,0.955726,1.19257,1.28926,0.0481,0.0842506,"no"
"59185","Sobic.007G100600.v3.2","WT","plasma","OK",1.28128,2.78616,1.12069,1.74077,0.004,0.00865716,"yes"
"59479","Sobic.007G129300.v3.2","WT","plasma","OK",0.27073,0.598894,1.14545,1.09437,0.048,0.0840984,"no"
"61737","Sobic.008G117600.v3.2","WT","plasma","OK",0.284127,1.12222,1.98175,1.71147,0.00565,0.0118754,"yes"
"62419","Sobic.008G183300.v3.2","WT","plasma","OK",1.68671,3.45216,1.03329,1.6198,0.00795,0.0162534,"yes"
"65879","Sobic.010G065700.v3.2","WT","plasma","OK",0.467111,1.03259,1.14443,1.32933,0.0356,0.0641314,"no"
"67739","Sobic.010G240300.v3.2","WT","plasma","OK",0.601509,1.20723,1.00504,1.42863,0.0155,0.0300229,"yes"
